frame,entity,pos0,pos1,pos2,pos3,pos4,pos5,ik_tx,ik_ty,home_h,stored0,stored1,stored2,stored3,stored4,stored5,recomp0,recomp1,recomp2,recomp3,recomp4,recomp5,l2meas0,l2meas1,l2meas2,l2meas3,l2meas4,l2meas5,l2exp0,l2exp1,l2exp2,l2exp3,l2exp4,l2exp5
420,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
450,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
480,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
510,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
540,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
570,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
600,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
630,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
660,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
690,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
720,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
750,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
780,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
810,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
840,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
870,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
900,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
930,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
960,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
990,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1020,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1050,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1080,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1110,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1140,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1170,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1200,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1230,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1260,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1290,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1320,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1350,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1380,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1410,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1440,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1470,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1500,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1530,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1560,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1590,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1620,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1650,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1680,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1710,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1740,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1770,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1800,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1830,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1860,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1890,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1920,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1950,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
1980,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2010,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2040,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2070,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2100,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2130,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2160,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2190,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2220,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2250,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2280,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2310,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2340,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2370,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
2400,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
